time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.41185966007e-08,5.88736148442e-07,10.0016717049,0.000510527135375,6.28299750557,0.0,1.09281818001e-05,4.7711153967e-05,0.0557218592181,0.0216284618926,-0.0102693007332,0.0,422.3920450044745,421.5057211536118,422.3552573920284,424.2161252968635
0.12000000000000001,7.09294493386e-06,1.93781839068e-05,10.0086750987,0.00167280079332,6.28194746677,0.0,0.0003033067063,0.00070853198418,0.177712542385,0.014424687141,-0.0386954782376,0.0,445.1063209956531,442.7742504652543,444.01613049027304,443.4248129993232
0.18,6.36844728898e-05,0.000104717452024,10.0250310473,0.00256402615809,6.28004335586,0.0,0.00182346788726,0.00223732203252,0.367442595724,0.0156983441918,-0.0205582754073,0.0,463.7948453470638,465.21654639580385,464.5491352963461,464.6488635427059
0.23999999999999996,0.000241119969792,0.000294827718928,10.0496120551,0.00399035717319,6.2788462759,0.0,0.00421209241237,0.00422121355665,0.451893358088,0.0363605969823,-0.018764369765,0.0,431.2118923489164,431.36339770229307,432.0367342399914,433.7751562951624
0.3,0.000599412514215,0.000649987876388,10.0822619297,0.00612764873562,6.27743917972,0.0,0.00787310775583,0.00786441687419,0.636348942679,0.0341011779883,-0.0350293390702,0.0,463.79231155443085,462.51320661116466,463.2729821608634,463.09582223653
0.36000000000000004,0.00119258112103,0.00124999052669,10.1224608474,0.00830515470901,6.27502293977,0.0,0.0121156035993,0.0123408834503,0.703572725011,0.0403468970275,-0.0536344612559,0.0,428.27623917712873,426.6900794300035,425.8785296145548,426.41298992828183
0.4200000000000001,0.0021271300243,0.00219833840709,10.1707096384,0.0111111415213,6.27154859286,0.0,0.0194241178565,0.0195778958871,0.904576107213,0.057227414196,-0.0682161694389,0.0,468.7320130255345,467.5953909342833,467.98731535118964,469.3003665961146
0.48000000000000015,0.00358837458626,0.00365343024068,10.2311808807,0.0147205531093,6.26727669828,0.0,0.0297733850851,0.0293382879499,1.11094242448,0.065449932221,-0.0779481411376,0.0,470.78109156752674,470.0239420077122,469.9149573720594,470.5541645455973
0.5400000000000001,0.00569444395064,0.00570802604988,10.2992341084,0.0185234491017,6.26263906565,0.0,0.0408663082323,0.0395113254759,1.15743837342,0.0588882140377,-0.0760171932856,0.0,421.7725825337719,421.9342047787632,420.23099251103844,419.66505266736806
0.6000000000000002,0.00865378976401,0.0085349261397,10.3747426991,0.0228552109248,6.25824117821,0.0,0.0582977484208,0.055184308063,1.35927477726,0.0904823850633,-0.0683524165358,0.0,468.8644656878196,469.45561957733935,468.6817171443115,471.1340415118147
0.6600000000000003,0.0127302941123,0.0123829759228,10.4611413509,0.0283500744447,6.25379804136,0.0,0.0780510411867,0.0736854516584,1.52045084241,0.0936910645173,-0.0889950697346,0.0,459.03303565925546,457.3878549843597,457.38826932245826,457.6504995672482
0.7200000000000003,0.0180229124108,0.0173936218657,10.5547630552,0.0340085971546,6.24811215188,0.0,0.0989083908483,0.0938905194214,1.6001282032,0.0955153602176,-0.109954434219,0.0,434.14865116297256,432.37848067499914,432.48411529308,432.6455399919307
0.7800000000000004,0.0247776034858,0.0238194342499,10.6556887765,0.0400742852227,6.24148288,0.0,0.126976219733,0.120952735354,1.76376939837,0.110399566791,-0.111575666551,0.0,459.2574572086765,459.1184864927119,459.1037509143031,460.2914572918886
0.8400000000000004,0.0334612534609,0.0321001015757,10.7686305135,0.0464877111005,6.23493551322,0.0,0.163271122216,0.155849694608,2.0004961664,0.0987473202796,-0.104623805232,0.0,481.0153495879461,481.5319503377921,482.58603640789545,481.71475298422394
0.9000000000000005,0.0444393127152,0.04258845706,10.8948925723,0.0521553670513,6.22918608524,0.0,0.203349294194,0.194426866439,2.20778506309,0.084109937316,-0.0823642733543,0.0,472.8918238294994,474.5958034468356,474.9513630223724,473.8343539599562
0.9600000000000005,0.0578813155066,0.055452028826,11.0322523443,0.057072620531,6.22421666369,0.0,0.245250443001,0.234893478152,2.37047953721,0.0772540011437,-0.0837581235915,0.0,461.8588265556929,461.74358315600523,461.8671478257525,461.3312976368217
1.0200000000000005,0.0741491655368,0.0710447779038,11.1826813389,0.0613743522673,6.21879957946,0.0,0.297634278916,0.285400410646,2.64314126002,0.0572514580059,-0.108376814085,0.0,494.89970116437524,493.0781569733258,496.04943385673295,494.58173712985644
1.0800000000000005,0.0935624183297,0.0896360135562,11.3472535816,0.0647797813386,6.21224870417,0.0,0.350203064111,0.334671083969,2.8420323615,0.0557501646813,-0.110839226711,0.0,474.7053300998783,474.5066522362573,474.9276764105258,474.81449395695404
1.1400000000000006,0.115861719949,0.110879640329,11.5178965189,0.0677966226137,6.20561489595,0.0,0.393687832968,0.373725329543,2.84597638044,0.0361424641327,-0.110018068178,0.0,414.16550103663053,414.2259262975829,415.7767751460856,414.05705958104977
1.2000000000000006,0.14114249554,0.134735137599,11.6919812651,0.0700679584032,6.19878579457,0.0,0.449674138103,0.421660810009,2.95647351071,0.041078059016,-0.122765132752,0.0,450.79944189064025,449.75675485297154,448.18999343289005,448.5916264007727
1.2600000000000007,0.170154375383,0.161699163903,11.8753003895,0.0725527209783,6.19132962073,0.0,0.518202248354,0.477380250582,3.15351248891,0.0420735719899,-0.127458854884,0.0,477.2066773802229,476.83536885235486,475.67741927078424,475.75443619083825
